maille;date_jour;jour_semaine;semaine;annee;donnees;conso_corrigee;borne_inf;borne_sup;borne_moyenne;conso_brute;borne_inf_brute;borne_sup_brute;borne_moyenne_brute
semaine;2025-10-26;43_7;43;2025;CPRC;50500,1458374761;53117,9520254929;54347,7114008459;53607,2845398813;48631,0684249761;51330,4298322667;57625,4106494208;53354,9038037702
semaine;2025-10-26;43_7;43;2024;CPRC;50121,8726190804;NA;NA;NA;47300,6770649137;NA;NA;NA
semaine;2025-10-26;43_7;43;2023;CPRC;49801,4602581041;NA;NA;NA;48163,5626872708;NA;NA;NA
semaine;2025-10-26;43_7;43;2022;CPRC;48853,3706372417;NA;NA;NA;44539,6024205750;NA;NA;NA
semaine;2025-10-26;43_7;43;2021;CPRC;52443,4397788443;NA;NA;NA;53467,8089538443;NA;NA;NA
semaine;2025-10-26;43_7;43;2020;CPRC;52922,5293116833;NA;NA;NA;52735,6839408500;NA;NA;NA
semaine;2025-10-19;42_7;42;2025;CPRC;47802,3166876220;50082,1813470337;52591,1930798792;51210,2387315492;47459,4403209553;48271,1315387003;57117,0289207708;51470,1962836325
semaine;2025-10-19;42_7;42;2024;CPRC;48560,9252885721;NA;NA;NA;46777,2898510720;NA;NA;NA
semaine;2025-10-19;42_7;42;2023;CPRC;48279,1302951166;NA;NA;NA;46763,7962367833;NA;NA;NA
semaine;2025-10-19;42_7;42;2022;CPRC;47261,1207216208;NA;NA;NA;44638,8355716208;NA;NA;NA
semaine;2025-10-19;42_7;42;2021;CPRC;51319,0222318761;NA;NA;NA;51223,1889652094;NA;NA;NA
semaine;2025-10-19;42_7;42;2020;CPRC;50441,4886439958;NA;NA;NA;55906,4788023292;NA;NA;NA
semaine;2025-10-12;41_7;41;2025;CPRC;46377,7374751137;49238,5647802600;50459,4840248417;50019,0210665673;46930,7723709470;48735,5000844267;56289,9879753875;50785,3924415673
semaine;2025-10-12;41_7;41;2024;CPRC;47424,9869770970;NA;NA;NA;47451,1219687637;NA;NA;NA
semaine;2025-10-12;41_7;41;2023;CPRC;45385,9209603583;NA;NA;NA;44227,6974853583;NA;NA;NA
semaine;2025-10-12;41_7;41;2022;CPRC;46405,7864630792;NA;NA;NA;46083,5553214125;NA;NA;NA
semaine;2025-10-12;41_7;41;2021;CPRC;48897,7337976004;NA;NA;NA;51868,6142767670;NA;NA;NA
semaine;2025-10-12;41_7;41;2020;CPRC;50316,1891835875;NA;NA;NA;51365,5931377542;NA;NA;NA
semaine;2025-10-05;40_7;40;2025;CPRC;45435,8583102748;48045,9248879587;49666,0509936542;48787,0353145073;46405,0182352748;48075,7924546254;49897,3824269875;49155,0441152017
semaine;2025-10-05;40_7;40;2024;CPRC;45956,3002833637;NA;NA;NA;47433,3856958637;NA;NA;NA
semaine;2025-10-05;40_7;40;2023;CPRC;44602,0190223500;NA;NA;NA;44311,0110390166;NA;NA;NA
semaine;2025-10-05;40_7;40;2022;CPRC;45652,9787152708;NA;NA;NA;45868,4254861042;NA;NA;NA
semaine;2025-10-05;40_7;40;2021;CPRC;48010,6144552408;NA;NA;NA;49268,9533010741;NA;NA;NA
semaine;2025-10-05;40_7;40;2020;CPRC;48650,3245501000;NA;NA;NA;49726,7437376000;NA;NA;NA
semaine;2025-09-28;39_7;39;2025;CPRC;44773,0499989178;46613,1279929627;48681,2373381333;47794,8791119636;46474,5887030845;46464,2017096294;48835,1795165417;47928,8032515469
semaine;2025-09-28;39_7;39;2024;CPRC;44879,5387215470;NA;NA;NA;45078,2145923804;NA;NA;NA
semaine;2025-09-28;39_7;39;2023;CPRC;43966,5144433416;NA;NA;NA;44026,4653391749;NA;NA;NA
semaine;2025-09-28;39_7;39;2022;CPRC;44701,0323351125;NA;NA;NA;46803,1048559458;NA;NA;NA
semaine;2025-09-28;39_7;39;2021;CPRC;46791,0548779554;NA;NA;NA;47112,0664696221;NA;NA;NA
semaine;2025-09-28;39_7;39;2020;CPRC;45448,7424875083;NA;NA;NA;45682,3866708417;NA;NA;NA
semaine;2025-09-21;38_7;38;2025;CPRC;44429,6583626817;46285,4192534715;48490,1293411625;47409,6498146698;44572,8387460151;46511,8588659715;50271,4559703292;47974,6376125864
semaine;2025-09-21;38_7;38;2024;CPRC;44608,1229956582;NA;NA;NA;44988,7210664915;NA;NA;NA
semaine;2025-09-21;38_7;38;2023;CPRC;43882,6299832541;NA;NA;NA;44291,2627540874;NA;NA;NA
semaine;2025-09-21;38_7;38;2022;CPRC;44660,5092316500;NA;NA;NA;45100,0970899833;NA;NA;NA
semaine;2025-09-21;38_7;38;2021;CPRC;46027,7248546332;NA;NA;NA;46029,1561046332;NA;NA;NA
semaine;2025-09-21;38_7;38;2020;CPRC;44874,6032320042;NA;NA;NA;46539,0843945042;NA;NA;NA
semaine;2025-09-14;37_7;37;2025;CPRC;44111,5541752470;46552,0086093543;48005,1570611125;47270,0206309790;44229,7171877470;46740,6987551876;48317,7746361125;47683,3638934789
semaine;2025-09-14;37_7;37;2024;CPRC;44080,8936804248;NA;NA;NA;44622,9243887581;NA;NA;NA
semaine;2025-09-14;37_7;37;2023;CPRC;43668,4552079166;NA;NA;NA;44917,4326412499;NA;NA;NA
semaine;2025-09-14;37_7;37;2022;CPRC;44607,8623558708;NA;NA;NA;45402,0651767042;NA;NA;NA
semaine;2025-09-14;37_7;37;2021;CPRC;45894,6333426870;NA;NA;NA;46377,1461510203;NA;NA;NA
semaine;2025-09-14;37_7;37;2020;CPRC;45320,5925347417;NA;NA;NA;45641,4900305750;NA;NA;NA
semaine;2025-09-07;36_7;36;2025;CPRC;44431,3791716456;46318,1593141978;47687,5558426167;47131,2611699549;44354,1178924789;46253,9058266978;48460,3772426167;47289,4537359271
semaine;2025-09-07;36_7;36;2024;CPRC;44351,7039496304;NA;NA;NA;44768,7162537970;NA;NA;NA
semaine;2025-09-07;36_7;36;2023;CPRC;43412,4785750374;NA;NA;NA;45977,7494625374;NA;NA;NA
semaine;2025-09-07;36_7;36;2022;CPRC;44747,9225866917;NA;NA;NA;45425,2065991917;NA;NA;NA
semaine;2025-09-07;36_7;36;2021;CPRC;45643,1545475545;NA;NA;NA;46923,0674433878;NA;NA;NA
semaine;2025-09-07;36_7;36;2020;CPRC;45332,8471926208;NA;NA;NA;45201,6193884542;NA;NA;NA
semaine;2025-08-31;35_7;35;2025;CPRC;43700,2250145428;45980,9356766208;47477,4328262833;46664,6084862864;44128,8027478762;45944,4832599542;48065,3820804500;46932,7191237864
semaine;2025-08-31;35_7;35;2024;CPRC;44365,4992411221;NA;NA;NA;44988,8101077887;NA;NA;NA
semaine;2025-08-31;35_7;35;2023;CPRC;43997,8741559249;NA;NA;NA;43500,0013350916;NA;NA;NA
semaine;2025-08-31;35_7;35;2022;CPRC;44920,4268519125;NA;NA;NA;45890,9477519125;NA;NA;NA
semaine;2025-08-31;35_7;35;2021;CPRC;46436,6098315160;NA;NA;NA;46236,8231731827;NA;NA;NA
semaine;2025-08-31;35_7;35;2020;CPRC;44613,6470919917;NA;NA;NA;44872,3849253250;NA;NA;NA
semaine;2025-08-24;34_7;34;2025;CPRC;42048,5833111137;42907,7690082417;45817,0293309000;44173,5039346138;42468,8151777804;42681,9237987750;46951,1443059000;44400,4642880860
semaine;2025-08-24;34_7;34;2024;CPRC;42568,3049134776;NA;NA;NA;42232,0701968110;NA;NA;NA
semaine;2025-08-24;34_7;34;2023;CPRC;43731,7945899707;NA;NA;NA;46223,5993524707;NA;NA;NA
semaine;2025-08-24;34_7;34;2022;CPRC;44058,3649712833;NA;NA;NA;45021,3941837833;NA;NA;NA
semaine;2025-08-24;34_7;34;2021;CPRC;44807,1590787914;NA;NA;NA;44480,5460662914;NA;NA;NA
semaine;2025-08-24;34_7;34;2020;CPRC;42513,0061492583;NA;NA;NA;43359,0384284250;NA;NA;NA
semaine;2025-08-17;33_7;33;2025;CPRC;41943,1874963280;41079,7716880661;43321,1642443750;41987,7385876018;43958,9973088280;40648,2221776494;43843,1779579167;42003,7421073935
semaine;2025-08-17;33_7;33;2024;CPRC;40593,5506786127;NA;NA;NA;42324,6294806960;NA;NA;NA
semaine;2025-08-17;33_7;33;2023;CPRC;40328,3460552448;NA;NA;NA;41282,0627635781;NA;NA;NA
semaine;2025-08-17;33_7;33;2022;CPRC;41801,9199365833;NA;NA;NA;41937,2689001250;NA;NA;NA
semaine;2025-08-17;33_7;33;2021;CPRC;43035,8180391844;NA;NA;NA;42583,1941808511;NA;NA;NA
semaine;2025-08-17;33_7;33;2020;CPRC;41645,4294884000;NA;NA;NA;43464,8853800667;NA;NA;NA
semaine;2025-08-10;32_7;32;2025;CPRC;41545,1124910443;42403,3777923458;43725,7841965166;42942,8528841525;41653,1118535443;42051,6624298458;44366,6584452342;43058,5398883192
semaine;2025-08-10;32_7;32;2024;CPRC;42300,0959357471;NA;NA;NA;42942,9463024137;NA;NA;NA
semaine;2025-08-10;32_7;32;2023;CPRC;40950,3040560250;NA;NA;NA;40554,9801726916;NA;NA;NA
semaine;2025-08-10;32_7;32;2022;CPRC;42073,6607566458;NA;NA;NA;43599,0435649792;NA;NA;NA
semaine;2025-08-10;32_7;32;2021;CPRC;42274,8702202201;NA;NA;NA;42196,2929368867;NA;NA;NA
semaine;2025-08-10;32_7;32;2020;CPRC;42511,8604135625;NA;NA;NA;42756,2318135625;NA;NA;NA
semaine;2025-08-03;31_7;31;2025;CPRC;43556,4541646470;44125,1501702792;46204,8417947541;45318,0819212504;43101,1620521470;43721,8353369458;47486,0435829343;45334,1618483337
semaine;2025-08-03;31_7;31;2024;CPRC;44253,2005656054;NA;NA;NA;46223,8729239387;NA;NA;NA
semaine;2025-08-03;31_7;31;2023;CPRC;42278,8220724541;NA;NA;NA;41755,2097141208;NA;NA;NA
semaine;2025-08-03;31_7;31;2022;CPRC;43773,9023523708;NA;NA;NA;45115,5588023708;NA;NA;NA
semaine;2025-08-03;31_7;31;2021;CPRC;42935,2905997931;NA;NA;NA;41936,4006581264;NA;NA;NA
semaine;2025-08-03;31_7;31;2020;CPRC;45487,4796628833;NA;NA;NA;46260,3899670500;NA;NA;NA
semaine;2025-07-27;30_7;30;2025;CPRC;44637,6291343276;46963,7952811625;48836,1101457916;47726,2245331540;44118,8637676609;46652,2744701083;50070,5682000557;48237,7416380151
semaine;2025-07-27;30_7;30;2024;CPRC;45309,1406459693;NA;NA;NA;45372,6693584693;NA;NA;NA
semaine;2025-07-27;30_7;30;2023;CPRC;44445,1912703958;NA;NA;NA;43934,6150620624;NA;NA;NA
semaine;2025-07-27;30_7;30;2022;CPRC;45850,1382159875;NA;NA;NA;46280,5498493208;NA;NA;NA
semaine;2025-07-27;30_7;30;2021;CPRC;45849,0584965105;NA;NA;NA;45351,8294340105;NA;NA;NA
semaine;2025-07-27;30_7;30;2020;CPRC;46112,5905395750;NA;NA;NA;46440,0496562417;NA;NA;NA
semaine;2025-07-20;29_7;29;2025;CPRC;45990,1510466387;47542,1190010667;48347,1936910500;47911,0530746931;46541,1227810137;47661,8744175498;48704,4458113333;48385,9164991722
semaine;2025-07-20;29_7;29;2024;CPRC;45538,0276516943;NA;NA;NA;45748,2518808610;NA;NA;NA
semaine;2025-07-20;29_7;29;2023;CPRC;45876,6706485791;NA;NA;NA;46121,1200860791;NA;NA;NA
semaine;2025-07-20;29_7;29;2022;CPRC;47270,6992485958;NA;NA;NA;48961,4846319292;NA;NA;NA
semaine;2025-07-20;29_7;29;2021;CPRC;46243,7621153068;NA;NA;NA;47379,1502153068;NA;NA;NA
semaine;2025-07-20;29_7;29;2020;CPRC;45494,5803112969;NA;NA;NA;45014,4739779635;NA;NA;NA
semaine;2025-07-13;28_7;28;2025;CPRC;45497,9541761220;46881,0352846198;49256,2735380583;48017,0882223960;45244,3961344553;46546,1045710781;49471,2132297250;48015,6273302085
semaine;2025-07-13;28_7;28;2024;CPRC;45358,2272951582;NA;NA;NA;45389,6956951582;NA;NA;NA
semaine;2025-07-13;28_7;28;2023;CPRC;45514,6426395312;NA;NA;NA;46672,1121603645;NA;NA;NA
