Date;Filière;Valeur (TWh);Nature
2016-08;"Consommation brute";32,082655111904;Données Consolidées
2016-09;"Consommation brute";33,194826683869;Données Consolidées
2016-10;"Consommation brute";38,539427703406;Données Consolidées
2016-11;"Consommation brute";44,219565735021;Données Consolidées
2016-12;"Consommation brute";50,599454670093;Données Consolidées
2017-01;"Consommation brute";57,299360474625;Données Consolidées
2017-02;"Consommation brute";43,773606225338;Données Consolidées
2017-03;"Consommation brute";42,635125874858;Données Consolidées
2017-04;"Consommation brute";36,53267040113;Données Consolidées
2017-05;"Consommation brute";34,928752456687;Données Consolidées
2017-06;"Consommation brute";33,267847552083;Données Consolidées
2017-07;"Consommation brute";33,791560545497;Données Consolidées
2017-08;"Consommation brute";32,0296848072;Données Consolidées
2017-09;"Consommation brute";33,543425740952;Données Consolidées
2017-10;"Consommation brute";36,527929578676;Données Consolidées
2017-11;"Consommation brute";44,827128870513;Données Consolidées
2017-12;"Consommation brute";51,612174027338;Données Consolidées
2018-01;"Consommation brute";48,583933338997;Données Consolidées
2018-02;"Consommation brute";50,063799867584;Données Consolidées
2018-03;"Consommation brute";48,339947945028;Données Consolidées
2018-04;"Consommation brute";36,186259960808;Données Consolidées
2018-05;"Consommation brute";33,894001055964;Données Consolidées
2018-06;"Consommation brute";32,516064318328;Données Consolidées
2018-07;"Consommation brute";34,529646792486;Données Consolidées
2018-08;"Consommation brute";32,355357219329;Données Consolidées
2018-09;"Consommation brute";32,618405001159;Données Consolidées
2018-10;"Consommation brute";37,009372832013;Données Consolidées
2018-11;"Consommation brute";43,648564013623;Données Consolidées
2018-12;"Consommation brute";47,435396230749;Données Consolidées
2019-01;"Consommation brute";54,007399016538;Données Consolidées
2019-02;"Consommation brute";44,177328383872;Données Consolidées
2019-03;"Consommation brute";43,001208550733;Données Consolidées
2019-04;"Consommation brute";37,817550912511;Données Consolidées
2019-05;"Consommation brute";35,492210201351;Données Consolidées
2019-06;"Consommation brute";32,460949752215;Données Consolidées
2019-07;"Consommation brute";34,507879845443;Données Consolidées
2019-08;"Consommation brute";31,482559770736;Données Consolidées
2019-09;"Consommation brute";32,119039892258;Données Consolidées
2019-10;"Consommation brute";36,247433990809;Données Consolidées
2019-11;"Consommation brute";43,814125986234;Données Consolidées
2019-12;"Consommation brute";46,839090204919;Données Consolidées
2020-01;"Consommation brute";49,598655868346;Données Consolidées
2020-02;"Consommation brute";43,258335343481;Données Consolidées
2020-03;"Consommation brute";41,380783464355;Données Consolidées
2020-04;"Consommation brute";30,596024864481;Données Consolidées
2020-05;"Consommation brute";30,575949884271;Données Consolidées
2020-06;"Consommation brute";30,72215761227;Données Consolidées
2020-07;"Consommation brute";32,937301974275;Données Consolidées
2020-08;"Consommation brute";31,41091249541;Données Consolidées
2020-09;"Consommation brute";32,286435628533;Données Consolidées
2020-10;"Consommation brute";38,31052479547;Données Consolidées
2020-11;"Consommation brute";39,801711168173;Données Consolidées
2020-12;"Consommation brute";47,599638317688;Données Consolidées
2021-01;"Consommation brute";52,929661941054;Données Consolidées
2021-02;"Consommation brute";42,968588533196;Données Consolidées
2021-03;"Consommation brute";43,82752797887;Données Consolidées
2021-04;"Consommation brute";37,684450351618;Données Consolidées
2021-05;"Consommation brute";34,944869030527;Données Consolidées
2021-06;"Consommation brute";31,990042069683;Données Consolidées
2021-07;"Consommation brute";32,902913059884;Données Consolidées
2021-08;"Consommation brute";31,154655211066;Données Consolidées
2021-09;"Consommation brute";32,314060105322;Données Consolidées
2021-10;"Consommation brute";36,812308679479;Données Consolidées
2021-11;"Consommation brute";44,513830013197;Données Consolidées
2021-12;"Consommation brute";49,468405106735;Données Consolidées
2022-01;"Consommation brute";52,508730738437;Données Consolidées
2022-02;"Consommation brute";43,219376744767;Données Consolidées
2022-03;"Consommation brute";42,987364093041;Données Consolidées
2022-04;"Consommation brute";37,170048034557;Données Consolidées
2022-05;"Consommation brute";32,87650790761;Données Consolidées
2022-06;"Consommation brute";32,33763226302;Données Consolidées
2022-07;"Consommation brute";33,726468510629;Données Consolidées
2022-08;"Consommation brute";31,841907951946;Données Consolidées
2022-09;"Consommation brute";31,73410940969;Données Consolidées
2022-10;"Consommation brute";32,344455062664;Données Consolidées
2022-11;"Consommation brute";37,111402263129;Données Consolidées
2022-12;"Consommation brute";46,071579236921;Données Consolidées
2023-01;"Consommation brute";46,94401947757;Données Consolidées
2023-02;"Consommation brute";41,814480187409;Données Consolidées
2023-03;"Consommation brute";40,808533325569;Données Consolidées
2023-04;"Consommation brute";35,247311610368;Données Consolidées
2023-05;"Consommation brute";31,619815691727;Données Consolidées
2023-06;"Consommation brute";30,798127901211;Données Consolidées
2023-07;"Consommation brute";32,18679439565;Données Consolidées
2023-08;"Consommation brute";30,827282406141;Données Consolidées
2023-09;"Consommation brute";31,11716754521;Données Consolidées
2023-10;"Consommation brute";33,15636639298;Données Consolidées
2023-11;"Consommation brute";39,496717922341;Données Consolidées
2023-12;"Consommation brute";44,435585139862;Données Consolidées
2024-01;"Consommation brute";48,77501926291;Données Consolidées
2024-02;"Consommation brute";40,076952780482;Données Consolidées
2024-03;"Consommation brute";39,774911046221;Données Consolidées
2024-04;"Consommation brute";35,19843538483;Données Consolidées
2024-05;"Consommation brute";32,15025599857;Données Consolidées
2024-06;"Consommation brute";30,784150232691;Données Consolidées
2024-07;"Consommation brute";32,696605133367;Données Consolidées
2024-08;"Consommation brute";31,305506520024;Données Consolidées
2024-09;"Consommation brute";31,313592420398;Données Consolidées
2024-10;"Consommation brute";34,425158204465;Données Consolidées
2024-11;"Consommation brute";39,504569374261;Données Consolidées
2024-12;"Consommation brute";46,342420852582;Données Consolidées
2025-01;"Consommation brute";49,683974493292;Données Consolidées
2025-02;"Consommation brute";42,339403319045;Données Consolidées
2025-03;"Consommation brute";40,700441091391;Données Consolidées
2025-04;"Consommation brute";33,255632935901;Données Consolidées
2025-05;"Consommation brute";31,159619584989;Données Consolidées
2025-06;"Consommation brute";31,575202898628;Données Consolidées
2025-07;"Consommation brute";32,792831977694;Données Consolidées
2025-08;"Consommation brute";30,961110269142;Données Consolidées
2025-09;"Consommation brute";31,443307114462;Données Consolidées
2025-10;"Consommation brute";34,975765028111;Données Consolidées
2025-11;"Consommation brute";39,977749938506;Données Consolidées
