Date;Filière;Valeur (GW)
2025-01;"Pointe de consommation d’électricité";88,007
2025-02;"Pointe de consommation d’électricité";79,506
2025-03;"Pointe de consommation d’électricité";70,902
2025-04;"Pointe de consommation d’électricité";58,973
2025-05;"Pointe de consommation d’électricité";52,681
2025-06;"Pointe de consommation d’électricité";57,758
2025-07;"Pointe de consommation d’électricité";58,681
2025-08;"Pointe de consommation d’électricité";51,865
2025-09;"Pointe de consommation d’électricité";54,903
2025-10;"Pointe de consommation d’électricité";58,652
2025-11;"Pointe de consommation d’électricité";76,306
